seq,canonical_rank,u,v,boundary_frame,transaction_type,full_idtp_delta_norm,h300_idtp_delta_norm,h120_idtp_delta_norm,full_donor_minus_receiver_support_frac,full_row_net,h60_idtp_delta_norm,h300_donor_minus_receiver_support_frac,h300_pairwise_net_norm,full_pairwise_net_norm,h300_row_net,h120_donor_minus_receiver_support_frac,h120_pairwise_net_norm,h120_row_net,delta_HOTA,delta_AssA,mean_positive_fraction,mean_target_q25,mean_target_mean,mean_target_min,prediction_dispersion,risk_lcb,mode,held_out,source_center_resid_20_h120_std,source_center_resid_20_full_mean,motion_margin_20_full_q25,velocity_margin_20_h60,motion_source_win_fraction_20_h120,source_stability_rank,source_residual_rank,transfer_margin_rank,velocity_margin_rank,source_win_fraction_rank,base_rank,motion_median,motion_q25,motion_min,motion_mean,rank_start,rank_end,decision_reason,threshold,topk,fallback_rule
MOT20-01,74,17,29,181,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.256457567619,0.325073668376,0.097225238446,0.017285652641,0.239171914978,expanded_motion,MOT20-01,0.021768413063,0.585642835265,-0.593139718462,0.212967798296,0.0,1.0,1.0,0.769230769231,0.769230769231,0.423076923077,1.0,0.769230769231,0.769230769231,0.423076923077,0.792307692308,61,80,keep_top1,0.3,3,lexicographic_min_q25
MOT20-01,85,17,28,343,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.681880425578,0.981590806244,0.298551530697,0.080460764541,0.601419661037,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.3125,0.375,1.0,1.0,1.0,1.0,1.0,0.375,0.3125,0.7375,81,100,keep_top1,0.3,3,lexicographic_min_q25
MOT20-02,21,36,60,175,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00204,-0.00361,1.0,0.743544818144,0.975372467219,0.420200569899,0.040862759486,0.702682058659,expanded_motion,MOT20-02,0.046950468249,0.271885885019,-0.207858577768,0.970566916266,0.0,0.947368421053,0.842105263158,0.842105263158,0.947368421053,0.447368421053,1.0,0.842105263158,0.842105263158,0.447368421053,0.805263157895,21,40,keep_top1,0.3,3,lexicographic_min_q25
MOT20-02,49,180,232,1409,v_to_u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196,0.00035,1.0,0.598729911473,0.783716723222,0.294148693669,0.023678137621,0.575051773852,expanded_motion,MOT20-02,0.0,0.840964479994,-0.739149368862,,0.0,1.0,0.933333333333,0.733333333333,,0.366666666667,1.0,0.833333333333,0.641666666667,0.366666666667,0.758333333333,41,60,keep_top1,0.3,3,lexicographic_min_q25
MOT20-02,62,223,371,2236,u_to_v,-0.016903313049,-0.035087719298,-0.082397003745,-0.892857142857,-0.892857142857,-0.148648648649,-0.785714285714,-0.533865967088,-0.76090381018,-0.785714285714,-0.785714285714,-0.719964136282,-0.785714285714,-0.015253,-0.03018,1.0,0.81608193262,0.897717106052,0.15847981211,0.021063879463,0.795018053157,expanded_motion,MOT20-02,0.094801984009,0.193639538839,0.026365292203,0.641136223945,0.769230769231,0.888888888889,0.888888888889,0.944444444444,0.944444444444,0.944444444444,1.0,0.944444444444,0.888888888889,0.888888888889,0.922222222222,61,80,keep_top1,0.3,3,lexicographic_min_q25
MOT20-02,99,413,431,2438,u_to_v,-0.009252120278,-0.019639934534,-0.047619047619,-1.0,-1.0,-0.090909090909,-1.0,-0.983305509182,-0.992217898833,-1.0,-1.0,-1.0,-1.0,-0.01027,-0.01798,1.0,0.983343891109,1.275436844272,0.440422041061,0.038287810117,0.945056080992,expanded_motion,MOT20-02,0.056982169458,1.247643520801,-1.257997326948,0.053252304926,0.0,0.941176470588,0.705882352941,0.529411764706,0.764705882353,0.352941176471,1.0,0.705882352941,0.529411764706,0.352941176471,0.658823529412,81,100,keep_top1,0.3,3,lexicographic_min_q25
MOT20-03,27,355,403,2122,v_to_u,0.001216545012,0.003322259136,0.004132231405,0.666666666667,0.666666666667,0.008196721311,0.666666666667,0.572621035058,0.658338411538,0.666666666667,0.333333333333,0.430962343096,0.333333333333,5.5e-05,0.00012,1.0,0.875172354611,0.983303316798,0.252877584975,0.027113604726,0.848058749886,expanded_motion,MOT20-03,0.144499933142,0.305500778221,-0.046729386119,0.5463032965,0.583333333333,0.65625,0.90625,0.96875,0.90625,0.96875,1.0,0.90625,0.90625,0.65625,0.88125,21,40,keep_top1,0.3,3,lexicographic_min_q25
MOT20-03,44,603,622,2119,u_to_v,-0.036496350365,-0.036496350365,-0.042194092827,-1.0,-1.0,-0.08547008547,-1.0,-0.916666666667,-0.916666666667,-1.0,-1.0,-1.0,-1.0,-0.00252,-0.00497,1.0,0.510762361228,0.666530372416,0.059893529667,0.01710800701,0.493654354217,expanded_motion,MOT20-03,0.056047184262,0.295714324702,-0.095948801618,0.323513182552,0.454545454545,0.769230769231,0.846153846154,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.846153846154,0.769230769231,0.892307692308,41,60,fallback,0.3,3,lexicographic_min_q25
MOT20-03,79,270,276,1104,v_to_u,0.0,0.0,0.0,0.0,0.0,-0.327272727273,0.0,-0.253886010363,-0.253886010363,0.0,0.0,-0.375,0.0,-0.00154,-0.003057,1.0,0.649129474924,0.767692509592,0.247662730033,0.029782718064,0.619346756861,expanded_motion,MOT20-03,0.570012548537,1.136595876729,-0.458984898842,0.208491598449,0.0,0.416666666667,0.583333333333,0.833333333333,0.916666666667,0.541666666667,1.0,0.583333333333,0.541666666667,0.416666666667,0.658333333333,61,80,keep_top1,0.3,3,lexicographic_min_q25
MOT20-03,94,131,280,1199,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000124,1.0,0.828914940794,0.87941882936,0.282694332216,0.029076287515,0.799838653279,expanded_motion,MOT20-03,0.007504444513,0.509181544013,-0.634668679263,0.463526446565,0.0,0.928571428571,0.857142857143,0.571428571429,0.846153846154,0.285714285714,1.0,0.846153846154,0.571428571429,0.285714285714,0.697802197802,81,100,abstain,0.3,3,lexicographic_min_q25
MOT20-05,28,525,874,1582,v_to_u,0.028806584362,0.057851239669,0.128676470588,1.0,1.0,0.230263157895,1.0,0.975438596491,0.98813559322,1.0,1.0,0.940928270042,1.0,0.005942,0.0097,1.0,1.02652704195,1.24829849782,0.99136236354,0.02758797766,0.99893906429,expanded_motion,MOT20-05,0.199086622873,0.285029901936,0.405469583515,3.067271150391,0.961538461538,0.777777777778,0.944444444444,1.0,1.0,1.0,1.0,1.0,0.944444444444,0.777777777778,0.944444444444,21,40,keep_top1,0.3,3,lexicographic_min_q25
MOT20-05,58,142,346,307,v_to_u,0.034782608696,0.064056939502,-0.398305084746,-0.254854368932,0.0,-0.5,-0.35472972973,0.039321276163,0.05119787665,0.0,-0.905172413793,-0.810344827586,0.0,-0.005329,-0.010054,1.0,0.957023900087,1.179298119387,0.913152682916,0.037417353442,0.919606546645,expanded_motion,MOT20-05,0.152999095338,2.838492118021,2.110678211011,0.485316828471,0.702479338843,0.923076923077,0.461538461538,1.0,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.461538461538,0.846153846154,41,60,keep_top1,0.3,3,lexicographic_min_q25
MOT20-05,76,857,861,1937,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.464435075516,0.630891382322,0.171111913855,0.018657603056,0.44577747246,expanded_motion,MOT20-05,0.007273634103,0.901074337243,-0.744709949579,0.382090710774,0.0,1.0,0.583333333333,0.583333333333,0.916666666667,0.458333333333,1.0,0.583333333333,0.583333333333,0.458333333333,0.708333333333,61,80,keep_top1,0.3,3,lexicographic_min_q25
MOT20-05,95,225,263,1216,v_to_u,0.0,0.044642857143,0.112359550562,0.0,0.0,0.224719101124,0.133333333333,0.133333333333,0.059512889155,0.133333333333,0.333333333333,0.333333333333,0.333333333333,0.017851,0.0329,1.0,1.006513281255,1.235067228897,0.95278318069,0.056573082109,0.949940199146,expanded_motion,MOT20-05,0.235904601285,4.963055029899,1.345968536144,0.012141597708,0.628099173554,0.666666666667,0.5,0.916666666667,0.454545454545,0.833333333333,1.0,0.666666666667,0.5,0.454545454545,0.674242424242,81,100,keep_top1,0.3,3,lexicographic_min_q25
MOT20-01,37,20,27,70,v_to_u,0.320939334638,0.353448275862,0.380281690141,0.965417867435,0.965417867435,0.266666666667,0.96,0.96,0.965417867435,0.96,0.9,0.9,0.9,0.436431,0.83944,1.0,0.731673226996,0.939013464188,0.195553858072,0.032934646237,0.698738580759,expanded_motion,MOT20-01,0.66783228483,4.875543716102,-1.215417897463,-0.495135534917,0.223140495868,0.555555555556,0.333333333333,0.444444444444,0.444444444444,0.888888888889,1.0,0.444444444444,0.444444444444,0.333333333333,0.533333333333,21,40,keep_top1,0.3,5,max_motion_min
MOT20-01,49,17,28,347,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.760356549238,1.058182892412,0.368376704937,0.068538876687,0.691817672551,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.375,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.775,41,60,keep_top1,0.3,5,max_motion_min
MOT20-01,74,17,29,181,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.256457567619,0.325073668376,0.097225238446,0.017285652641,0.239171914978,expanded_motion,MOT20-01,0.021768413063,0.585642835265,-0.593139718462,0.212967798296,0.0,1.0,1.0,0.769230769231,0.769230769231,0.423076923077,1.0,0.769230769231,0.769230769231,0.423076923077,0.792307692308,61,80,keep_top1,0.3,5,max_motion_min
MOT20-01,85,17,28,343,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.681880425578,0.981590806244,0.298551530697,0.080460764541,0.601419661037,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.3125,0.375,1.0,1.0,1.0,1.0,1.0,0.375,0.3125,0.7375,81,100,keep_top1,0.3,5,max_motion_min
MOT20-02,21,36,60,175,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00204,-0.00361,1.0,0.743544818144,0.975372467219,0.420200569899,0.040862759486,0.702682058659,expanded_motion,MOT20-02,0.046950468249,0.271885885019,-0.207858577768,0.970566916266,0.0,0.947368421053,0.842105263158,0.842105263158,0.947368421053,0.447368421053,1.0,0.842105263158,0.842105263158,0.447368421053,0.805263157895,21,40,keep_top1,0.3,5,max_motion_min
MOT20-02,49,180,232,1409,v_to_u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196,0.00035,1.0,0.598729911473,0.783716723222,0.294148693669,0.023678137621,0.575051773852,expanded_motion,MOT20-02,0.0,0.840964479994,-0.739149368862,,0.0,1.0,0.933333333333,0.733333333333,,0.366666666667,1.0,0.833333333333,0.641666666667,0.366666666667,0.758333333333,41,60,keep_top1,0.3,5,max_motion_min
MOT20-02,62,223,371,2236,u_to_v,-0.016903313049,-0.035087719298,-0.082397003745,-0.892857142857,-0.892857142857,-0.148648648649,-0.785714285714,-0.533865967088,-0.76090381018,-0.785714285714,-0.785714285714,-0.719964136282,-0.785714285714,-0.015253,-0.03018,1.0,0.81608193262,0.897717106052,0.15847981211,0.021063879463,0.795018053157,expanded_motion,MOT20-02,0.094801984009,0.193639538839,0.026365292203,0.641136223945,0.769230769231,0.888888888889,0.888888888889,0.944444444444,0.944444444444,0.944444444444,1.0,0.944444444444,0.888888888889,0.888888888889,0.922222222222,61,80,keep_top1,0.3,5,max_motion_min
MOT20-02,99,413,431,2438,u_to_v,-0.009252120278,-0.019639934534,-0.047619047619,-1.0,-1.0,-0.090909090909,-1.0,-0.983305509182,-0.992217898833,-1.0,-1.0,-1.0,-1.0,-0.01027,-0.01798,1.0,0.983343891109,1.275436844272,0.440422041061,0.038287810117,0.945056080992,expanded_motion,MOT20-02,0.056982169458,1.247643520801,-1.257997326948,0.053252304926,0.0,0.941176470588,0.705882352941,0.529411764706,0.764705882353,0.352941176471,1.0,0.705882352941,0.529411764706,0.352941176471,0.658823529412,81,100,keep_top1,0.3,5,max_motion_min
MOT20-03,27,355,403,2122,v_to_u,0.001216545012,0.003322259136,0.004132231405,0.666666666667,0.666666666667,0.008196721311,0.666666666667,0.572621035058,0.658338411538,0.666666666667,0.333333333333,0.430962343096,0.333333333333,5.5e-05,0.00012,1.0,0.875172354611,0.983303316798,0.252877584975,0.027113604726,0.848058749886,expanded_motion,MOT20-03,0.144499933142,0.305500778221,-0.046729386119,0.5463032965,0.583333333333,0.65625,0.90625,0.96875,0.90625,0.96875,1.0,0.90625,0.90625,0.65625,0.88125,21,40,keep_top1,0.3,5,max_motion_min
MOT20-03,44,603,622,2119,u_to_v,-0.036496350365,-0.036496350365,-0.042194092827,-1.0,-1.0,-0.08547008547,-1.0,-0.916666666667,-0.916666666667,-1.0,-1.0,-1.0,-1.0,-0.00252,-0.00497,1.0,0.510762361228,0.666530372416,0.059893529667,0.01710800701,0.493654354217,expanded_motion,MOT20-03,0.056047184262,0.295714324702,-0.095948801618,0.323513182552,0.454545454545,0.769230769231,0.846153846154,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.846153846154,0.769230769231,0.892307692308,41,60,fallback,0.3,5,max_motion_min
MOT20-03,79,270,276,1104,v_to_u,0.0,0.0,0.0,0.0,0.0,-0.327272727273,0.0,-0.253886010363,-0.253886010363,0.0,0.0,-0.375,0.0,-0.00154,-0.003057,1.0,0.649129474924,0.767692509592,0.247662730033,0.029782718064,0.619346756861,expanded_motion,MOT20-03,0.570012548537,1.136595876729,-0.458984898842,0.208491598449,0.0,0.416666666667,0.583333333333,0.833333333333,0.916666666667,0.541666666667,1.0,0.583333333333,0.541666666667,0.416666666667,0.658333333333,61,80,keep_top1,0.3,5,max_motion_min
MOT20-03,94,131,280,1199,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000124,1.0,0.828914940794,0.87941882936,0.282694332216,0.029076287515,0.799838653279,expanded_motion,MOT20-03,0.007504444513,0.509181544013,-0.634668679263,0.463526446565,0.0,0.928571428571,0.857142857143,0.571428571429,0.846153846154,0.285714285714,1.0,0.846153846154,0.571428571429,0.285714285714,0.697802197802,81,100,abstain,0.3,5,max_motion_min
MOT20-05,28,525,874,1582,v_to_u,0.028806584362,0.057851239669,0.128676470588,1.0,1.0,0.230263157895,1.0,0.975438596491,0.98813559322,1.0,1.0,0.940928270042,1.0,0.005942,0.0097,1.0,1.02652704195,1.24829849782,0.99136236354,0.02758797766,0.99893906429,expanded_motion,MOT20-05,0.199086622873,0.285029901936,0.405469583515,3.067271150391,0.961538461538,0.777777777778,0.944444444444,1.0,1.0,1.0,1.0,1.0,0.944444444444,0.777777777778,0.944444444444,21,40,keep_top1,0.3,5,max_motion_min
MOT20-05,58,142,346,307,v_to_u,0.034782608696,0.064056939502,-0.398305084746,-0.254854368932,0.0,-0.5,-0.35472972973,0.039321276163,0.05119787665,0.0,-0.905172413793,-0.810344827586,0.0,-0.005329,-0.010054,1.0,0.957023900087,1.179298119387,0.913152682916,0.037417353442,0.919606546645,expanded_motion,MOT20-05,0.152999095338,2.838492118021,2.110678211011,0.485316828471,0.702479338843,0.923076923077,0.461538461538,1.0,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.461538461538,0.846153846154,41,60,keep_top1,0.3,5,max_motion_min
MOT20-05,76,857,861,1937,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.464435075516,0.630891382322,0.171111913855,0.018657603056,0.44577747246,expanded_motion,MOT20-05,0.007273634103,0.901074337243,-0.744709949579,0.382090710774,0.0,1.0,0.583333333333,0.583333333333,0.916666666667,0.458333333333,1.0,0.583333333333,0.583333333333,0.458333333333,0.708333333333,61,80,keep_top1,0.3,5,max_motion_min
MOT20-05,95,225,263,1216,v_to_u,0.0,0.044642857143,0.112359550562,0.0,0.0,0.224719101124,0.133333333333,0.133333333333,0.059512889155,0.133333333333,0.333333333333,0.333333333333,0.333333333333,0.017851,0.0329,1.0,1.006513281255,1.235067228897,0.95278318069,0.056573082109,0.949940199146,expanded_motion,MOT20-05,0.235904601285,4.963055029899,1.345968536144,0.012141597708,0.628099173554,0.666666666667,0.5,0.916666666667,0.454545454545,0.833333333333,1.0,0.666666666667,0.5,0.454545454545,0.674242424242,81,100,keep_top1,0.3,5,max_motion_min
MOT20-01,37,20,27,70,v_to_u,0.320939334638,0.353448275862,0.380281690141,0.965417867435,0.965417867435,0.266666666667,0.96,0.96,0.965417867435,0.96,0.9,0.9,0.9,0.436431,0.83944,1.0,0.731673226996,0.939013464188,0.195553858072,0.032934646237,0.698738580759,expanded_motion,MOT20-01,0.66783228483,4.875543716102,-1.215417897463,-0.495135534917,0.223140495868,0.555555555556,0.333333333333,0.444444444444,0.444444444444,0.888888888889,1.0,0.444444444444,0.444444444444,0.333333333333,0.533333333333,21,40,keep_top1,0.3,5,max_motion_q25
MOT20-01,49,17,28,347,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.760356549238,1.058182892412,0.368376704937,0.068538876687,0.691817672551,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.375,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.775,41,60,keep_top1,0.3,5,max_motion_q25
MOT20-01,74,17,29,181,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.256457567619,0.325073668376,0.097225238446,0.017285652641,0.239171914978,expanded_motion,MOT20-01,0.021768413063,0.585642835265,-0.593139718462,0.212967798296,0.0,1.0,1.0,0.769230769231,0.769230769231,0.423076923077,1.0,0.769230769231,0.769230769231,0.423076923077,0.792307692308,61,80,keep_top1,0.3,5,max_motion_q25
MOT20-01,85,17,28,343,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.681880425578,0.981590806244,0.298551530697,0.080460764541,0.601419661037,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.3125,0.375,1.0,1.0,1.0,1.0,1.0,0.375,0.3125,0.7375,81,100,keep_top1,0.3,5,max_motion_q25
MOT20-02,21,36,60,175,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00204,-0.00361,1.0,0.743544818144,0.975372467219,0.420200569899,0.040862759486,0.702682058659,expanded_motion,MOT20-02,0.046950468249,0.271885885019,-0.207858577768,0.970566916266,0.0,0.947368421053,0.842105263158,0.842105263158,0.947368421053,0.447368421053,1.0,0.842105263158,0.842105263158,0.447368421053,0.805263157895,21,40,keep_top1,0.3,5,max_motion_q25
MOT20-02,49,180,232,1409,v_to_u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196,0.00035,1.0,0.598729911473,0.783716723222,0.294148693669,0.023678137621,0.575051773852,expanded_motion,MOT20-02,0.0,0.840964479994,-0.739149368862,,0.0,1.0,0.933333333333,0.733333333333,,0.366666666667,1.0,0.833333333333,0.641666666667,0.366666666667,0.758333333333,41,60,keep_top1,0.3,5,max_motion_q25
MOT20-02,62,223,371,2236,u_to_v,-0.016903313049,-0.035087719298,-0.082397003745,-0.892857142857,-0.892857142857,-0.148648648649,-0.785714285714,-0.533865967088,-0.76090381018,-0.785714285714,-0.785714285714,-0.719964136282,-0.785714285714,-0.015253,-0.03018,1.0,0.81608193262,0.897717106052,0.15847981211,0.021063879463,0.795018053157,expanded_motion,MOT20-02,0.094801984009,0.193639538839,0.026365292203,0.641136223945,0.769230769231,0.888888888889,0.888888888889,0.944444444444,0.944444444444,0.944444444444,1.0,0.944444444444,0.888888888889,0.888888888889,0.922222222222,61,80,keep_top1,0.3,5,max_motion_q25
MOT20-02,99,413,431,2438,u_to_v,-0.009252120278,-0.019639934534,-0.047619047619,-1.0,-1.0,-0.090909090909,-1.0,-0.983305509182,-0.992217898833,-1.0,-1.0,-1.0,-1.0,-0.01027,-0.01798,1.0,0.983343891109,1.275436844272,0.440422041061,0.038287810117,0.945056080992,expanded_motion,MOT20-02,0.056982169458,1.247643520801,-1.257997326948,0.053252304926,0.0,0.941176470588,0.705882352941,0.529411764706,0.764705882353,0.352941176471,1.0,0.705882352941,0.529411764706,0.352941176471,0.658823529412,81,100,keep_top1,0.3,5,max_motion_q25
MOT20-03,27,355,403,2122,v_to_u,0.001216545012,0.003322259136,0.004132231405,0.666666666667,0.666666666667,0.008196721311,0.666666666667,0.572621035058,0.658338411538,0.666666666667,0.333333333333,0.430962343096,0.333333333333,5.5e-05,0.00012,1.0,0.875172354611,0.983303316798,0.252877584975,0.027113604726,0.848058749886,expanded_motion,MOT20-03,0.144499933142,0.305500778221,-0.046729386119,0.5463032965,0.583333333333,0.65625,0.90625,0.96875,0.90625,0.96875,1.0,0.90625,0.90625,0.65625,0.88125,21,40,keep_top1,0.3,5,max_motion_q25
MOT20-03,44,603,622,2119,u_to_v,-0.036496350365,-0.036496350365,-0.042194092827,-1.0,-1.0,-0.08547008547,-1.0,-0.916666666667,-0.916666666667,-1.0,-1.0,-1.0,-1.0,-0.00252,-0.00497,1.0,0.510762361228,0.666530372416,0.059893529667,0.01710800701,0.493654354217,expanded_motion,MOT20-03,0.056047184262,0.295714324702,-0.095948801618,0.323513182552,0.454545454545,0.769230769231,0.846153846154,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.846153846154,0.769230769231,0.892307692308,41,60,fallback,0.3,5,max_motion_q25
MOT20-03,79,270,276,1104,v_to_u,0.0,0.0,0.0,0.0,0.0,-0.327272727273,0.0,-0.253886010363,-0.253886010363,0.0,0.0,-0.375,0.0,-0.00154,-0.003057,1.0,0.649129474924,0.767692509592,0.247662730033,0.029782718064,0.619346756861,expanded_motion,MOT20-03,0.570012548537,1.136595876729,-0.458984898842,0.208491598449,0.0,0.416666666667,0.583333333333,0.833333333333,0.916666666667,0.541666666667,1.0,0.583333333333,0.541666666667,0.416666666667,0.658333333333,61,80,keep_top1,0.3,5,max_motion_q25
MOT20-03,94,131,280,1199,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000124,1.0,0.828914940794,0.87941882936,0.282694332216,0.029076287515,0.799838653279,expanded_motion,MOT20-03,0.007504444513,0.509181544013,-0.634668679263,0.463526446565,0.0,0.928571428571,0.857142857143,0.571428571429,0.846153846154,0.285714285714,1.0,0.846153846154,0.571428571429,0.285714285714,0.697802197802,81,100,abstain,0.3,5,max_motion_q25
MOT20-05,28,525,874,1582,v_to_u,0.028806584362,0.057851239669,0.128676470588,1.0,1.0,0.230263157895,1.0,0.975438596491,0.98813559322,1.0,1.0,0.940928270042,1.0,0.005942,0.0097,1.0,1.02652704195,1.24829849782,0.99136236354,0.02758797766,0.99893906429,expanded_motion,MOT20-05,0.199086622873,0.285029901936,0.405469583515,3.067271150391,0.961538461538,0.777777777778,0.944444444444,1.0,1.0,1.0,1.0,1.0,0.944444444444,0.777777777778,0.944444444444,21,40,keep_top1,0.3,5,max_motion_q25
MOT20-05,58,142,346,307,v_to_u,0.034782608696,0.064056939502,-0.398305084746,-0.254854368932,0.0,-0.5,-0.35472972973,0.039321276163,0.05119787665,0.0,-0.905172413793,-0.810344827586,0.0,-0.005329,-0.010054,1.0,0.957023900087,1.179298119387,0.913152682916,0.037417353442,0.919606546645,expanded_motion,MOT20-05,0.152999095338,2.838492118021,2.110678211011,0.485316828471,0.702479338843,0.923076923077,0.461538461538,1.0,0.923076923077,0.923076923077,1.0,0.923076923077,0.923076923077,0.461538461538,0.846153846154,41,60,keep_top1,0.3,5,max_motion_q25
MOT20-05,76,857,861,1937,u_to_v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.464435075516,0.630891382322,0.171111913855,0.018657603056,0.44577747246,expanded_motion,MOT20-05,0.007273634103,0.901074337243,-0.744709949579,0.382090710774,0.0,1.0,0.583333333333,0.583333333333,0.916666666667,0.458333333333,1.0,0.583333333333,0.583333333333,0.458333333333,0.708333333333,61,80,keep_top1,0.3,5,max_motion_q25
MOT20-05,95,225,263,1216,v_to_u,0.0,0.044642857143,0.112359550562,0.0,0.0,0.224719101124,0.133333333333,0.133333333333,0.059512889155,0.133333333333,0.333333333333,0.333333333333,0.333333333333,0.017851,0.0329,1.0,1.006513281255,1.235067228897,0.95278318069,0.056573082109,0.949940199146,expanded_motion,MOT20-05,0.235904601285,4.963055029899,1.345968536144,0.012141597708,0.628099173554,0.666666666667,0.5,0.916666666667,0.454545454545,0.833333333333,1.0,0.666666666667,0.5,0.454545454545,0.674242424242,81,100,keep_top1,0.3,5,max_motion_q25
MOT20-01,37,20,27,70,v_to_u,0.320939334638,0.353448275862,0.380281690141,0.965417867435,0.965417867435,0.266666666667,0.96,0.96,0.965417867435,0.96,0.9,0.9,0.9,0.436431,0.83944,1.0,0.731673226996,0.939013464188,0.195553858072,0.032934646237,0.698738580759,expanded_motion,MOT20-01,0.66783228483,4.875543716102,-1.215417897463,-0.495135534917,0.223140495868,0.555555555556,0.333333333333,0.444444444444,0.444444444444,0.888888888889,1.0,0.444444444444,0.444444444444,0.333333333333,0.533333333333,21,40,keep_top1,0.3,5,lexicographic_min_q25
MOT20-01,49,17,28,347,u_to_v,0.0,0.0,0.038338658147,0.0,0.0,0.029239766082,0.0,0.014910579616,0.012876335082,0.0,0.064102564103,0.029023458811,0.064102564103,0.046867,0.075333,1.0,0.760356549238,1.058182892412,0.368376704937,0.068538876687,0.691817672551,expanded_motion,MOT20-01,1.533668403345,2.143752685328,0.281751919795,1.160903892853,0.987804878049,0.375,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.375,0.775,41,60,keep_top1,0.3,5,lexicographic_min_q25
MOT20-01,74,17,29,181,v_to_u,0.011940298507,0.013513513514,0.033472803347,1.0,1.0,-0.067226890756,1.0,0.554794520548,0.607250755287,1.0,1.0,0.125541125541,1.0,0.040357,0.0829,1.0,0.256457567619,0.325073668376,0.097225238446,0.017285652641,0.239171914978,expanded_motion,MOT20-01,0.021768413063,0.585642835265,-0.593139718462,0.212967798296,0.0,1.0,1.0,0.769230769231,0.769230769231,0.423076923077,1.0,0.769230769231,0.769230769231,0.423076923077,0.792307692308,61,80,keep_top1,0.3,5,lexicographic_min_q25
