job_index,job_key,phase,run_name,detector_filter,val_sequences,graph_topk,graph_min_detections,graph_min_committed_matches,out_dir,plan_key,status,HOTA,AssA,IDF1,MOTA,IDSW,started_at,finished_at,notes
11,11_full_public_topk8_md2_mm4,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md2_mm4,ALL,ALL,8,2,4,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/11_full_public_topk8_md2_mm4,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:11_full_public_topk8_md2_mm4,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=2; min_committed_matches=4
12,12_full_public_topk8_md2_mm5,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md2_mm5,ALL,ALL,8,2,5,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/12_full_public_topk8_md2_mm5,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:12_full_public_topk8_md2_mm5,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=2; min_committed_matches=5
13,13_full_public_topk8_md3_mm2,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md3_mm2,ALL,ALL,8,3,2,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/13_full_public_topk8_md3_mm2,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:13_full_public_topk8_md3_mm2,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=3; min_committed_matches=2
14,14_full_public_topk8_md3_mm3,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md3_mm3,ALL,ALL,8,3,3,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/14_full_public_topk8_md3_mm3,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:14_full_public_topk8_md3_mm3,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=3; min_committed_matches=3
15,15_full_public_topk8_md3_mm4,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md3_mm4,ALL,ALL,8,3,4,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/15_full_public_topk8_md3_mm4,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:15_full_public_topk8_md3_mm4,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=3; min_committed_matches=4
16,16_full_public_topk8_md3_mm5,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md3_mm5,ALL,ALL,8,3,5,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/16_full_public_topk8_md3_mm5,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:16_full_public_topk8_md3_mm5,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=3; min_committed_matches=5
17,17_full_public_topk8_md4_mm2,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md4_mm2,ALL,ALL,8,4,2,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/17_full_public_topk8_md4_mm2,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:17_full_public_topk8_md4_mm2,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=4; min_committed_matches=2
18,18_full_public_topk8_md4_mm3,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md4_mm3,ALL,ALL,8,4,3,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/18_full_public_topk8_md4_mm3,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:18_full_public_topk8_md4_mm3,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=4; min_committed_matches=3
19,19_full_public_topk8_md4_mm4,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md4_mm4,ALL,ALL,8,4,4,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/19_full_public_topk8_md4_mm4,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:19_full_public_topk8_md4_mm4,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=4; min_committed_matches=4
20,20_full_public_topk8_md4_mm5,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md4_mm5,ALL,ALL,8,4,5,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/20_full_public_topk8_md4_mm5,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:20_full_public_topk8_md4_mm5,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=4; min_committed_matches=5
21,21_full_public_topk8_md5_mm2,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md5_mm2,ALL,ALL,8,5,2,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/21_full_public_topk8_md5_mm2,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:21_full_public_topk8_md5_mm2,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=5; min_committed_matches=2
22,22_full_public_topk8_md5_mm3,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md5_mm3,ALL,ALL,8,5,3,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/22_full_public_topk8_md5_mm3,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:22_full_public_topk8_md5_mm3,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=5; min_committed_matches=3
23,23_full_public_topk8_md5_mm4,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md5_mm4,ALL,ALL,8,5,4,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/23_full_public_topk8_md5_mm4,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:23_full_public_topk8_md5_mm4,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=5; min_committed_matches=4
24,24_full_public_topk8_md5_mm5,full_public,local_conflict_graph_commitmatches_hardtrigger_next12h_full_public_topk8_md5_mm5,ALL,ALL,8,5,5,/gemini/code/FMtrack-main/FM-Track/outputs/debug_commitmatches_switch/runs/24_full_public_topk8_md5_mm5,queue:local_conflict_graph_commitmatches_hardtrigger_next12h:24_full_public_topk8_md5_mm5,queued,,,,,,,,local conflict graph matched-edge commit oracle with hard cluster trigger; phase=full_public; detector_filter=ALL; val_sequences=ALL; topk=8; min_detections=5; min_committed_matches=5
